NumIters,Seconds,LearningRate,loss
19800.0,3389.653158,0.001,0.00253405
19820.0,3391.80722,0.001,0.00286638
19840.0,3393.958545,0.001,0.000804625
19860.0,3396.107926,0.001,0.00266528
19880.0,3398.260343,0.001,0.00369668
19900.0,3400.412161,0.001,0.000856478
19920.0,3402.562181,0.001,0.00122476
19940.0,3404.712379,0.001,0.000689161
19960.0,3406.875134,0.001,0.000778835
19980.0,3409.014364,0.001,0.000897691
20000.0,3426.345785,0.001,0.000577162
20020.0,3428.600396,0.0001,0.0147077
20040.0,3430.832855,0.0001,0.000265512
20060.0,3433.09367,0.0001,0.00169774
20080.0,3435.358405,0.0001,0.000531495
20100.0,3437.645283,0.0001,0.00053712
20120.0,3439.906111,0.0001,0.000954016
20140.0,3442.063928,0.0001,0.000988445
20160.0,3444.172133,0.0001,0.000457882
20180.0,3446.287731,0.0001,0.0007711
20200.0,3448.425306,0.0001,0.00121814
20220.0,3450.562014,0.0001,0.00148987
20240.0,3452.675354,0.0001,0.000244498
20260.0,3454.803468,0.0001,0.0018184
20280.0,3456.938275,0.0001,0.000675805
20300.0,3459.084909,0.0001,0.00709832
20320.0,3461.228316,0.0001,0.000753055
20340.0,3463.379727,0.0001,0.00259955
20360.0,3465.525774,0.0001,0.000589776
20380.0,3467.676384,0.0001,0.000285487
20400.0,3469.827425,0.0001,0.000665974
20420.0,3471.961874,0.0001,0.000937994
20440.0,3474.089336,0.0001,0.000386768
20460.0,3476.245075,0.0001,0.000153682
20480.0,3478.422869,0.0001,0.000935664
20500.0,3480.57456,0.0001,0.00083265
20520.0,3482.734562,0.0001,0.000606766
20540.0,3484.901006,0.0001,0.00197129
20560.0,3487.085685,0.0001,0.000409913
20580.0,3489.257533,0.0001,0.000576488
20600.0,3491.420527,0.0001,0.000402319
20620.0,3493.583606,0.0001,0.000343803
20640.0,3495.804042,0.0001,0.0016121
20660.0,3498.004413,0.0001,0.00378478
20680.0,3500.144367,0.0001,0.00094923
20700.0,3502.301962,0.0001,0.000317511
20720.0,3504.455289,0.0001,0.00113494
20740.0,3506.607756,0.0001,0.00183697
20760.0,3508.756941,0.0001,0.00191564
20780.0,3510.896609,0.0001,0.000719621
20800.0,3513.054871,0.0001,0.000559424
20820.0,3515.235385,0.0001,0.00109183
20840.0,3517.382246,0.0001,0.000968483
20860.0,3519.555389,0.0001,0.00235877
20880.0,3521.738161,0.0001,0.00133657
20900.0,3523.967069,0.0001,0.000254737
20920.0,3526.150797,0.0001,0.0011564
20940.0,3528.303792,0.0001,0.000252001
20960.0,3530.447346,0.0001,0.0003815
20980.0,3532.596532,0.0001,0.000383636
21000.0,3548.877,0.0001,0.000524573
21020.0,3551.137861,0.0001,0.000576345
21040.0,3553.402882,0.0001,0.000167692
